fov_key,dataset,filename,image_path,density_label,overlap_label,density_ord,overlap_ord
initial-071626/dpc-235-KIT-62501048.png,initial-071626,dpc-235-KIT-62501048.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\initial-dataset-071626\dpc-235-KIT-62501048.png,monolayer,no rouleaux,1,0
initial-071626/dpc-105-KIT-62500652.png,initial-071626,dpc-105-KIT-62500652.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\initial-dataset-071626\dpc-105-KIT-62500652.png,slightly dense,some rouleaux,2,2
initial-071626/dpc-051-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,initial-071626,dpc-051-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\initial-dataset-071626\dpc-051-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,monolayer,slight rouleaux,1,1
initial-071626/dpc-035-LB-D3-2025-10-03-122127-250912792D-thin-3-4.png,initial-071626,dpc-035-LB-D3-2025-10-03-122127-250912792D-thin-3-4.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\initial-dataset-071626\dpc-035-LB-D3-2025-10-03-122127-250912792D-thin-3-4.png,dense,some rouleaux,3,2
initial-071626/dpc-015-LB-D3-2025-10-03-122127-250912792D-thin-3-4.png,initial-071626,dpc-015-LB-D3-2025-10-03-122127-250912792D-thin-3-4.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\initial-dataset-071626\dpc-015-LB-D3-2025-10-03-122127-250912792D-thin-3-4.png,slightly dense,slight rouleaux,2,1
initial-071626/dpc-174-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,initial-071626,dpc-174-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\initial-dataset-071626\dpc-174-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,dense,rouleaux,3,3
initial-071626/dpc-145-LB-D12-2026-03-04-114809-250817119ELWA-Negative-2.png,initial-071626,dpc-145-LB-D12-2026-03-04-114809-250817119ELWA-Negative-2.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\initial-dataset-071626\dpc-145-LB-D12-2026-03-04-114809-250817119ELWA-Negative-2.png,dense,rouleaux,3,3
initial-071626/dpc-134-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,initial-071626,dpc-134-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\initial-dataset-071626\dpc-134-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,dense,rouleaux,3,3
initial-071626/dpc-198-KIT-62501056.png,initial-071626,dpc-198-KIT-62501056.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\initial-dataset-071626\dpc-198-KIT-62501056.png,slightly dense,some rouleaux,2,2
initial-071626/dpc-168-KIT-62500666.png,initial-071626,dpc-168-KIT-62500666.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\initial-dataset-071626\dpc-168-KIT-62500666.png,monolayer,slight rouleaux,1,1
initial-071626/dpc-146-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,initial-071626,dpc-146-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\initial-dataset-071626\dpc-146-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,very dense,heavy rouleaux,4,4
initial-071626/dpc-008-LB-D3-2025-08-30-130619-2412193030-D-thin-2.png,initial-071626,dpc-008-LB-D3-2025-08-30-130619-2412193030-D-thin-2.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\initial-dataset-071626\dpc-008-LB-D3-2025-08-30-130619-2412193030-D-thin-2.png,very dense,heavy rouleaux,4,4
initial-071626/dpc-020-LB-D3-2025-08-30-132634-250816974-D-thin-4.png,initial-071626,dpc-020-LB-D3-2025-08-30-132634-250816974-D-thin-4.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\initial-dataset-071626\dpc-020-LB-D3-2025-08-30-132634-250816974-D-thin-4.png,very dense,heavy rouleaux,4,4
tanzania-073026/dpc-001-KTR-72502948.png,tanzania-073026,dpc-001-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-001-KTR-72502948.png,monolayer,no rouleaux,1,0
tanzania-073026/dpc-002-KTR-72502948.png,tanzania-073026,dpc-002-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-002-KTR-72502948.png,monolayer,no rouleaux,1,0
tanzania-073026/dpc-003-KTR-72502948.png,tanzania-073026,dpc-003-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-003-KTR-72502948.png,monolayer,no rouleaux,1,0
tanzania-073026/dpc-004-KTR-72502948.png,tanzania-073026,dpc-004-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-004-KTR-72502948.png,monolayer,no rouleaux,1,0
tanzania-073026/dpc-005-KTR-72502948.png,tanzania-073026,dpc-005-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-005-KTR-72502948.png,monolayer,no rouleaux,1,0
tanzania-073026/dpc-006-KTR-72502948.png,tanzania-073026,dpc-006-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-006-KTR-72502948.png,monolayer,no rouleaux,1,0
tanzania-073026/dpc-007-KTR-72502948.png,tanzania-073026,dpc-007-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-007-KTR-72502948.png,monolayer,no rouleaux,1,0
tanzania-073026/dpc-008-KTR-72502948.png,tanzania-073026,dpc-008-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-008-KTR-72502948.png,monolayer,no rouleaux,1,0
tanzania-073026/dpc-009-KTR-72502948.png,tanzania-073026,dpc-009-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-009-KTR-72502948.png,monolayer,no rouleaux,1,0
tanzania-073026/dpc-010-KTR-72502948.png,tanzania-073026,dpc-010-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-010-KTR-72502948.png,monolayer,no rouleaux,1,0
tanzania-073026/dpc-011-KTR-72502948.png,tanzania-073026,dpc-011-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-011-KTR-72502948.png,monolayer,no rouleaux,1,0
tanzania-073026/dpc-012-KTR-72502948.png,tanzania-073026,dpc-012-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-012-KTR-72502948.png,monolayer,slight rouleaux,1,1
tanzania-073026/dpc-013-KTR-72502948.png,tanzania-073026,dpc-013-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-013-KTR-72502948.png,monolayer,no rouleaux,1,0
tanzania-073026/dpc-014-KTR-72502948.png,tanzania-073026,dpc-014-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-014-KTR-72502948.png,monolayer,slight rouleaux,1,1
tanzania-073026/dpc-015-KTR-72502948.png,tanzania-073026,dpc-015-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-015-KTR-72502948.png,monolayer,slight rouleaux,1,1
tanzania-073026/dpc-016-KTR-72502948.png,tanzania-073026,dpc-016-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-016-KTR-72502948.png,monolayer,slight rouleaux,1,1
tanzania-073026/dpc-017-KTR-72502948.png,tanzania-073026,dpc-017-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-017-KTR-72502948.png,slightly dense,slight rouleaux,2,1
tanzania-073026/dpc-018-KTR-72502948.png,tanzania-073026,dpc-018-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-018-KTR-72502948.png,slightly dense,slight rouleaux,2,1
tanzania-073026/dpc-019-KTR-72502948.png,tanzania-073026,dpc-019-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-019-KTR-72502948.png,monolayer,no rouleaux,1,0
tanzania-073026/dpc-020-KTR-72502948.png,tanzania-073026,dpc-020-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-020-KTR-72502948.png,monolayer,no rouleaux,1,0
tanzania-073026/dpc-021-KTR-72502948.png,tanzania-073026,dpc-021-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-021-KTR-72502948.png,monolayer,no rouleaux,1,0
tanzania-073026/dpc-022-KTR-72502948.png,tanzania-073026,dpc-022-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-022-KTR-72502948.png,monolayer,no rouleaux,1,0
tanzania-073026/dpc-023-KTR-72502948.png,tanzania-073026,dpc-023-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-023-KTR-72502948.png,monolayer,no rouleaux,1,0
tanzania-073026/dpc-024-KTR-72502948.png,tanzania-073026,dpc-024-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-024-KTR-72502948.png,monolayer,no rouleaux,1,0
tanzania-073026/dpc-025-KTR-72502948.png,tanzania-073026,dpc-025-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-025-KTR-72502948.png,monolayer,no rouleaux,1,0
tanzania-073026/dpc-026-KTR-72502948.png,tanzania-073026,dpc-026-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-026-KTR-72502948.png,monolayer,no rouleaux,1,0
tanzania-073026/dpc-027-KTR-72502948.png,tanzania-073026,dpc-027-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-027-KTR-72502948.png,monolayer,no rouleaux,1,0
tanzania-073026/dpc-028-KTR-72502948.png,tanzania-073026,dpc-028-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-028-KTR-72502948.png,monolayer,no rouleaux,1,0
tanzania-073026/dpc-029-KTR-72502948.png,tanzania-073026,dpc-029-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-029-KTR-72502948.png,monolayer,no rouleaux,1,0
tanzania-073026/dpc-030-KTR-72502948.png,tanzania-073026,dpc-030-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-030-KTR-72502948.png,monolayer,no rouleaux,1,0
tanzania-073026/dpc-031-KTR-72502948.png,tanzania-073026,dpc-031-KTR-72502948.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\new\KTR-72502948\dpc\dpc-031-KTR-72502948.png,monolayer,no rouleaux,1,0
