sample_id,fov_id,annotator,country,tags
KTR-72502946,1,E. Chu,Tanzania,Monolayer
KTR-72502946,2,E. Chu,Tanzania,Monolayer
KTR-72502946,3,E. Chu,Tanzania,Monolayer
KTR-72502946,4,E. Chu,Tanzania,Monolayer
KTR-72502946,5,E. Chu,Tanzania,Monolayer
KTR-72502946,6,E. Chu,Tanzania,Monolayer
KTR-72502946,7,E. Chu,Tanzania,Monolayer
KTR-72502946,8,E. Chu,Tanzania,Monolayer
KTR-72502946,9,E. Chu,Tanzania,Monolayer
KTR-72502946,10,E. Chu,Tanzania,Monolayer
KTR-72502946,11,E. Chu,Tanzania,Monolayer
KTR-72502946,12,E. Chu,Tanzania,Monolayer
KTR-72502946,13,E. Chu,Tanzania,Monolayer
KTR-72502946,14,E. Chu,Tanzania,Monolayer
KTR-72502946,15,E. Chu,Tanzania,Monolayer
KTR-72502946,16,E. Chu,Tanzania,Slightly Dense
KTR-72502946,17,E. Chu,Tanzania,Slightly Dense
KTR-72502946,18,E. Chu,Tanzania,Slightly Dense
KTR-72502946,19,E. Chu,Tanzania,Monolayer
KTR-72502946,20,E. Chu,Tanzania,Monolayer
KTR-72502946,21,E. Chu,Tanzania,Monolayer
KTR-72502946,22,E. Chu,Tanzania,Monolayer
KTR-72502946,23,E. Chu,Tanzania,Monolayer
KTR-72502946,24,E. Chu,Tanzania,"Monolayer, Unfocused"
KTR-72502946,25,E. Chu,Tanzania,"Monolayer, Slight Rouleaux"
KTR-72502946,26,E. Chu,Tanzania,"Monolayer, Slight Rouleaux"
KTR-72502946,27,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux"
KTR-72502946,28,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux"
KTR-72502946,29,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux"
KTR-72502946,30,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux"
KTR-72502946,31,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux"
KTR-72502946,32,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux"
KTR-72502946,33,E. Chu,Tanzania,"Slightly Dense, Some Rouleaux"
KTR-72502946,34,E. Chu,Tanzania,"Slightly Dense, Some Rouleaux"
KTR-72502946,35,E. Chu,Tanzania,"Slightly Dense, Some Rouleaux"
KTR-72502946,36,E. Chu,Tanzania,"Slightly Dense, Some Rouleaux"
KTR-72502946,37,E. Chu,Tanzania,Monolayer
KTR-72502946,38,E. Chu,Tanzania,Monolayer
KTR-72502946,39,E. Chu,Tanzania,Monolayer
KTR-72502946,40,E. Chu,Tanzania,Monolayer
KTR-72502946,41,E. Chu,Tanzania,Monolayer
KTR-72502946,42,E. Chu,Tanzania,Monolayer
KTR-72502946,43,E. Chu,Tanzania,Monolayer
KTR-72502946,44,E. Chu,Tanzania,Monolayer
KTR-72502946,45,E. Chu,Tanzania,Slightly Dense
KTR-72502946,46,E. Chu,Tanzania,Slightly Dense
KTR-72502946,47,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux"
KTR-72502946,48,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux"
KTR-72502946,49,E. Chu,Tanzania,"Slightly Dense, Some Rouleaux"
KTR-72502946,50,E. Chu,Tanzania,"Slightly Dense, Some Rouleaux"
KTR-72502946,51,E. Chu,Tanzania,"Slightly Dense, Some Rouleaux"
KTR-72502946,52,E. Chu,Tanzania,"Slightly Dense, Some Rouleaux"
KTR-72502946,53,E. Chu,Tanzania,"Dense, Some Rouleaux"
KTR-72502946,54,E. Chu,Tanzania,"Slightly Dense, Some Rouleaux, Overexposed"
KTR-72502946,55,E. Chu,Tanzania,Monolayer
